Titre,Nom_Entreprise,Adresse,Descriptif_du_poste,Data_de_publication,métier_sc,loc_sc,Date_sc,Identifiant,Experiences,contrat,Salaire,Freq,Sal,Salaire_Min,Salaire_Max
Ingénieur Développeur FPGA H/F,Cabinet Arthur Watson SGC,Colomiers (31),"Colomiers (31)
Temps plein, CDI
34 000 € - 46 000 € par an
Description de l'entreprise:
Notre client, spécialisé dans les applications électroniques embarquées travaille pour les plus grands de l’industrie de la défense recherche un Ingénieur Développeur FPGA embarqué avec ou sans expérience.
Mission:
L’ingénieur retenu aura pour charge la conception FPGA des cartes électroniques pour systèmes durcis.
 Rédiger les spécifications fonctionnelles et de conception
 Concevoir des algorithmes et des modèles
 Coder des IPs de traitement Vidéo en VHDL
 Supporter l’intégration et le débug HW/SW
 Participation aux développements de cartes électroniques
 Assiste les chargés d’affaires sur la rédaction du cahier de procédures et du cahier de résultats de l’acceptation produit
 Définir et effectuer les tests nécessaires à la validation des prototypes
 Collabore avec les ingénieurs de système, de développement HW/SW, les fournisseurs et d'autres fonctions pertinentes pour résoudre les problèmes techniques de la qualité
Profil recherché:
 Un ingénieur ou universitaire en électronique avec expérience ou débutant avec un stage significatif en tant que développeur FPGA.
 Vous connaissez le domaine numérique.
 Connaissances en codage et simulation.
 Connaissance des outils de développement et des architectures FPGA et SoC
 La connaissance des C/C++ et de l’environnement Linux serait un plus.
 Une expérience en développement de cartes électroniques et/ou SoC serait un plus
 Connaissances des protocoles réseaux, traitement numérique du signal, vidéo
 Vous avez un bon niveau d’anglais.
 Vous êtes curieux, rigoureux, autonome, avec un bon relationnel et esprit de challenge
 Rejoignez-notre équipe !
Type d'emploi : Temps plein, CDI
Salaire : 34 000,00€ à 46 000,00€ /an
Expérience:
programmation FPGA: 1 an (Souhaité)
ingénieur développeur fpga h/f ou similaire: 1 an (Souhaité)
Formation:
Bac +5 (Master / MBA) (Souhaité)
Lieu:
Colomiers (31) (Souhaité)
Certificats et autres accréditations:
Bac+5 (Souhaité)
Langue:
Anglais (Requis)
il y a 30+ jours
Signaler cette offre d'emploi",,developpeur,Toulouse,14/10/2019,vjk=8e799a37278a7aa6,junior,cdi,34 000 € - 46 000 € par an,Annuel,"[34000, 46000]",34000.0,46000.0
INGÉNIEUR DÉVELOPPEUR C++ / JAVA F/H,ALTEN,Toulouse (31),"Toulouse (31)
CDI
30 000 € - 45 000 € par an
Partenaire technologique de référence des plus grandes entreprises françaises et internationales, ALTEN est devenu en 30 ans le leader européen de l’Ingénierie et du Conseil en Technologies.
Labélisé ""Top employeur"" 2019, ALTEN est un acteur majeur du recrutement d’ingénieurs en France et dans le monde.
Rejoindre ALTEN, c'est la promesse de participer, en France comme à l'International, aux projets technologiques les plus passionnants tels que la voiture électrique, les avions de demain, la sécurité et la maîtrise des risques, les services utilisateurs (applications mobiles...).
Description du poste
Vous vous assurez du bon déroulement de migrations applicatives. A ce titre, vous êtes en charge des activités suivantes :
- Des activités liées au développement (technologies C++/Java)
- De la gestion des bases de données via Oracle;
Description du profil
Diplômé d’une formation de niveau Bac +5 (ingénieur ou master 2) idéalement spécialisée en informatique, vous faites preuve à minima d’une année d’expérience en développement logiciel. Une expérience dans un environnement anglophone serait un plus.
Autonome, curieux, proactif et doté d’un excellent relationnel, vous appréciez le travail en équipe ainsi que les challenges techniques.
Type d'emploi : CDI
Salaire : 30 000,00€ à 45 000,00€ /an
Expérience:
ingénieur développeur c++ / java f/h ou similaire: 1 an (Souhaité)
il y a 30+ jours
Signaler cette offre d'emploi",,developpeur,Toulouse,14/10/2019,vjk=008d77a008590232,senior,cdi,30 000 € - 45 000 € par an,Annuel,"[30000, 45000]",30000.0,45000.0
DEVELOPPEUR C# /.Net (H/F),S DIGIT,Toulouse (31),"Toulouse (31)
CDI
38 000 € par an
ALLIANCE Forêts Bois, 1ère coopérative forestière en France, recrute un/une Développeur(euse) C# /.Net pour sa filiale informatique S.DIGIT en CDI.
Poste basé à Toulouse (31).
S.DIGIT est une société d’informatique destinée aux entreprises qui offre un large choix de services et de produits parfaitement adaptés aux exigences de ses clients.
Nous sommes spécialisés dans les solutions intégrées et constamment présents pour épauler et conseiller avec compétence et professionnalisme nos clients. Architectes de solutions personnalisées et innovantes, nous accompagnons nos clients dans toutes les phases de leurs projets technologiques.
Historiquement tournée vers les domaines de l’aménagement territorial et de la forêt, notre société a su faire évoluer ses ressources et capitaliser son expérience en ingénierie informatique, S.I.G. et administration réseaux pour assurer à nos clients un service global ou une expertise ciblée, orientée vers leurs besoins et leur budget.
La diversité de nos compétences associée à une expérience de plus de 30 ans dans les systèmes d’information nous permet de répondre à toutes demandes.
MISSIONS :
Au sein de l’équipe de développement, vous aurez en charge :
Concevoir et développer de nouvelles fonctionnalités
Assurer la maintenance applicative
Rédiger des documentations techniques
Nous évoluons sur les technos suivantes :
Microsoft .Net C#, SQL Server, Visual Studio 2017, TFS 2018, Entity Framework, Delphi
Desktop : WPF, MVVM
Backend : .net Core 2.x, API Rest
Frontend : Angular 5+, Typescript, HTML 5, CSS
Mobile : Cordova
PROFIL RECHERCHE :
De formation supérieure en informatique, vous justifiez d’une expérience réussie d’au moins 2 ans.
Vous maîtrisez l’environnement C# / .Net.
Vous êtes passionné(e) par les nouvelles technologies, faites preuve d’autonomie et de rigueur. Vous avez de bonnes capacités d'adaptation, l’esprit d'équipe et des capacités d'analyse et de synthèse.
Classification et salaire : A partir de 38 K€.
Poste à pourvoir dès que possible / CDI
Les candidatures (CV + lettre de motivation) sont à adresser par email à Mr Cyril FILIPUZZI – Directeur et en copie au service des ressources humaines.
Type d'emploi : CDI
Salaire : 38 000,00€ /an
il y a 30+ jours
Signaler cette offre d'emploi",,developpeur,Toulouse,14/10/2019,vjk=d8442117bc191c46,senior,cdi,38 000 € par an,Annuel,[38000],38000.0,38000.0
DÉVELOPPEUR BASE DE DONNÉES SQL SERVER (F/H),Expectra.fr,Toulouse (31),"Toulouse (31)
CDI
28 000 € - 35 000 € par an
Expectra, leader en France de l'intérim spécialisé et du recrutement en CDI de cadres et agents de maîtrise.
Les consultants du Département Informatique - Intégration vous proposent des opportunités de carrière.

Nous recherchons pour le compte d'un client final, un Développeur bases de données SQL Server junior (F/H).

Au sein d'une équipe de 6 personnes, vous avez en charge :
Développement de procédures stockées en TSQL (une grande partie des règles métier des applications backend est codée directement en base, à l'aide de procédures stockées)
Analyse et modélisation des bases de données
Implémentation technique des besoins fonctionnels
Maintenance et refactorisation des bases existantes
Amélioration des processus de développement
Ce poste en CDI est à pourvoir sur Toulouse Nord.
Salaire entre 28 Keuros et 35 Keuros sur 13 mois.
Tickets restaurant à 7€.

De formation Bac+2 en informatique, vous justifiez idéalement d'une expérience d'au moins un an sur un poste similaire. Le poste est ouvert à des profils juniors connaissant SQL server.

Des compétences en performance tuning seraient un plus.
Le poste est éventuellement ouvert à un DBA venant d'un autre SGBDR.
il y a 6 mois
- Continuer pour postuler
Signaler cette offre d'emploi",,developpeur,Toulouse,14/10/2019,vjk=c2d7f101af297e1a,senior,cdi,28 000 € - 35 000 € par an,Annuel,"[28000, 35000]",28000.0,35000.0
Concepteur/Développeur d’Applications Junior H/F,Ethics Group,Blagnac (31),"Blagnac (31)
CDI
26 000 € - 32 000 € par an
Mission :
Notre créneau, c’est d’utiliser les nouvelles technologies pour accélérer les prises de décisions, faciliter le travail collectif, renforcer les liens sociaux, améliorer la communication, partager des idées et rendre possible ce qui ne l’est pas !
Concevoir et réaliser des outils multiplateformes (tablette, smartphone, pc, mode Saas) avec les technologies numériques actuelles en lien avec notre offre :
AppY Box & Pack : un bouquet d’applications pour animer groupes et organisations
Colidée : le 1er réseau social de concertation
Visualmanagement : solution de communication interne
Certains intègrent des parties logicielles et matérielles (objets connectés).
Mener une veille permanente et être force de proposition pour étendre notre offre
Participer aux créations et maintiens de nos sites internet
Pour optimiser le travail collaboratif, nous utilisons le logiciel de version décentralisé : GIT
Un environnement stimulant pour relever tous les défis.
Plus d’infos sur www.digi-smart.fr
Profil :
De formation Bac+2 minimum en informatique, tu es passionné(e) par les nouvelles technologies
Tu maîtrises VueJS (store, API REST, progressive WebApp, WebPack, ES6) Laravel (API REST, services, temps réel avec REDIS, OAuth)
Tu es polyvalent(e) et curieux(se)
Tu as envie d’être embarqué(e) dans une équipe multi-compétences qui te donnera l’opportunité d’élargir le champ de tes connaissances et de réaliser des projets de bout en bout en mode agile.
Tu as des connaissances en développement d’applications s’exécutant sur terminaux mobiles (iOS, Android) ? C’est la cerise sur le gâteau ! Tu n’es pas encore là mais nous comptons déjà sur toi !
Rémunération entre 26 et 32k€ selon le profil et l’expérience.
Tu veux changer le monde ? Nous aussi ! Alors envoies ton dossier de candidature (CV + lettre de motivation) à candidature@digi-smart.fr
Pour appuyer cette candidature, tu peux aussi partager des exemples de réalisations ou les décrire dans la lettre de motivation.
Quand sera traitée ta candidature ?
Nous traitons toutes les candidatures au fil de l’eau, tu auras donc de nos nouvelles très vite pour organiser une rencontre dans nos locaux.
il y a 10 mois
- Continuer pour postuler
Signaler cette offre d'emploi",,developpeur,Toulouse,14/10/2019,vjk=1d9675678801de76,junior,cdi,26 000 € - 32 000 € par an,Annuel,"[26000, 32000]",26000.0,32000.0
Developpeur Prestashop / Symfony,GREENTIC,Lyon 2e (69),"Lyon 2e (69)
Temps plein, CDI
30 000 € - 35 000 € par an
Greentic est une petite agence web, basé sur la presqu’île à Lyon.
Nous sommes une super équipe, soudée, travaillant ensemble depuis plus de 5 ans, et avons besoin d'un développeur Prestashop / Symfony pour venir renforcer notre team de trois developpeurs et un graphiste/intégrateur.
Nos projets sont sympas, parfois un peut complexes, mais on aime le défi technique ;)
On vas boire un café pour en discuter ?
Type d'emploi : Temps plein, CDI
Salaire : 30 000,00€ à 35 000,00€ /an
Expérience:
developpeur prestashop / symfony ou similaire: 4 ans (Requis)
il y a 4 jours
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=463aab73315735ba&advn=2190309400171150,senior,cdi,30 000 € - 35 000 € par an,Annuel,"[30000, 35000]",30000.0,35000.0
Développeur informatique Drupal 8 à Lyon (69) (H/F),Manpower,Lyon (69),"Lyon (69)
Intérim
35 000 € - 42 000 € par an
L'entreprise
Manpower LYON INFORMATIQUE recherche pour son client, un acteur du secteur des services informatiques, un Développeur informatique Drupal 8 à Lyon (69) (H/F)
Les missions
Votre mission consiste en la réalisation de services back-office et en la personnalisation de différents services

Contexte et missions :
Participer à la conception technique ;
Estimer les différents postes de charge et le reste à faire ;
Rédiger la documentation technique ;
Réaliser le développement et les tests unitaires.

Environnement de travail :
Conception objet ;
Langages : DRUPAL 8 et PHP 5/7
Web services : REST, flux JSON, SOAP ;
Multi-threading ;
UNIX, shell ;
Le profil
Enthousiaste
Autonome
Capacité à communiquer et force de proposition
Rigoureux(se) dans sa méthode et son travail
Ayant l'esprit d'équipe

Compétences techniques requises :
MySQL (Maitrisé)
PHP 5/7 (Maitrisé)
Drupal 8 (Maitrisé)
GIT (Maitrisé)
Rejoindre Manpower IT, c’est rejoindre une équipe experte du secteur de l’informatique et bénéficier d’autres nombreux avantages :

Comités d’entreprise
Compte épargne temps
CDI-Intérimaire...
Alors n'hésitez plus à postuler et soyez notre prochain talent IT !
Dans le cadre de sa politique diversité, Manpower étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap
il y a 2 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=f6d46027ba99b2ce,senior,cdi,35 000 € - 42 000 € par an,Annuel,"[35000, 42000]",35000.0,42000.0
Développeur Mobile Android & IOS_IOT F/H,Rtone,Lyon (69),"Lyon (69)
CDI
35 000 € - 45 000 € par an
Tu es développeur.se et tu cherches de nouveaux challenges. Tu veux avoir de l’impact sur tes projetset rester proche du besoinclient. Ce poste devrait t’intéresser !
Startup devenue PME, Rtone est une entreprise innovante à taille humaine pionnière dans l’IoTavec 12 ans d'activité. Notre spécialité, c’est la maîtrise de la conception de solutions connectées de A à Z: Hardware, Firmware et Cloud & Mobile. Voici quelques uns de nos projets : un airbag connecté pour motard, un horodateur connecté nouvelle génération ou encore la gestion de l’éclairage public...
LE POSTE ET SON CONTEXTE
Tu intégreras l’équipe Cloud & Mobile. Tes supers collègues seront Charly, Marine, Polo, Louis et Fabien
La majorité de ton travail se fera sur Androidet tu seras amené.e à travailler sur la version IOS pour certains projets
Dans un mode de fonctionnement Agile, tu participeras à toutes les étapesde nos projets : rencontre des clients, conseil, cadrage des besoins techniques et fonctionnels, développement des applications, tests et intégration
Le contexte technique:
Nous codons en Kotlin pour Android et Swift pour IOS
Nous développons des applications nativesessentiellement sur mobile mais aussi sur des custom devices
Nous travaillons souvent avec des couches de connectivitédu type (BLE, Wifi…)
L’essentiel de nos applications suivent l’architecture MVVM sur Android
Nous nous tenons à jour des dernières nouveautés(veille technique, conférences, meetup,...)
Postuler : https://rtone.typeform.com/to/XH2OGo
CE QUE NOUS ATTENDONS DE TOI...
Nous recherchons une personnalité plus que des compétences !
Ce qui peut être un plus pour nous:
tu as déjà une expérience significativeen développement mobile Android
tu as au moins une première expérience avec IOSet tu es prêt.e à continuer
tu aimes creuser ce qu'il se passe en dessous (couches basses)
outu es un.e touche à tout: Backend, BSP Linux, tu peux compléter…
Tu te reconnais dans ces affirmations :
Tu as toujours une intention bienveillanteenvers tes supers collègues
Tu partages et échanges naturellement tes connaissancesavec les autres membres de l’équipe
Tu es convaincu.e que tout.e seul.e on va plus vite mais ensemble on va plus loin!
Et si ton profil est retenu...
Tu auras un échange téléphonique de 30 minavec Malika des RH. Si vous êtes sur la même longueur d’ondes, tu la rencontreras dans nos locaux pour un échange de visu. Une fois cette étape validée, tu seras challengé.e techniquementpar un des membres de l’équipe mobile. Et enfin, si tout se passe bien, tu termineras l’épreuve du feu par un déjeuner avec nous: )
Le meilleur pour la fin : les + chez Rtone :
La possibilité de Home office1 à 2 fois par semaine
Un environnement ouvert et flexible qui te donnera les moyens de tes ambitions!
Un programme d'intégrationpour te sentir ""chez toi"" dès la première semaine : )
Weekly : réunion hebdo où on parle imprimantes 3D, industrialisation, failles de sécurité... On ne s’ennuie jamaiset on sait parler de tout!
Rtone investit et encouragevivement la veille technique !
Du coachingpour encourager ton épanouissement professionnel
On va éviter le cliché de la start-upqui se la joue super cool, mais il nous semble important de t'informer que l'on a un jardin et un BBQ
Locauxtout beaux,tout neufs pour être à l'aise pour travailler
Ah oui, il paraît aussi que la mutuelle est pas mal !
Postuler : https://rtone.typeform.com/to/XH2OGo
Type d'emploi : CDI
Salaire : 35 000,00€ à 45 000,00€ /an
Expérience:
développeur mobile android & ios_iot f/h ou similaire: 2 ans (Requis)
il y a 10 jours
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=820dbd278fda1c68,junior,cdi,35 000 € - 45 000 € par an,Annuel,"[35000, 45000]",35000.0,45000.0
Développeur Embarqué IOT H/F,Rtone,Lyon (69),"Lyon (69)
CDI
35 000 € - 50 000 € par an
Tu es développeur.se et tu cherches de nouveaux challenges. Tu veux avoir de l’impact sur tes projets et rester proche du besoin client. Ce poste devrait t’intéresser !
Startup devenue PME, Rtone est une entreprise innovante à taille humaine pionnière dans l’IoT avec 12 ans d'activité. Notre spécialité, c’est la maîtrise de la conception de solutions connectées de A à Z : Hardware, Firmware et Cloud & Mobile. Voici quelques-uns de nos projets : un airbag connecté pour motard, un horodateur connecté nouvelle génération ou encore la gestion de l’éclairage public...
LE POSTE ET SON CONTEXTE
Le contexte et descriptif du poste
Tu intégreras notre équipe Firmware pour participer au développement de logiciels embarqués de nos produits. Tes supers collègues seront Christophe, Grand Ben, Petit Ben, Corentin, Sylvain, Rida, Mickaël, Marc et Minh.
Dans un mode de fonctionnement Agile, tu participeras à toutes les étapes de nos projets : rencontre des clients, conseil, cadrage des besoins techniques et fonctionnels, conception et développement des applicatifs, tests et intégration et industrialisation.
Le contexte technique
Nous utilisons les langages C et C++
Nous développons des logiciels embarqués sur microcontrôleur (ST, NXP, Espressif, Nordic…)
Nous développons aussi des logiciels embarqués sur Linux (Kernel, Userland…)
Nous travaillons avec des technologies de connectivité du type : Bluetooth Low Energy , LoRa, Sigfox, WiFi, ZigBee...
Nous travaillons avec Git et GitLab, nous pratiquons la code review et l’intégration continue
Nous développons les bancs de tests pour la mise en production de nos produits.
Postuler : https://rtone.typeform.com/to/z5vHT1
CE QUE NOUS ATTENDONS DE TOI...
Nous recherchons une personnalité plus que des compétences !
Ce qui peut être un plus pour nous
tu as déjà une expérience significative en développement embarqué sur Microcontrôleur (ARM, AVR, Espressif, Tensilica...)
tu aimes creuser sur ce qu'il se passe en dessous (connaissances en électronique) ou au-dessus (App Android, Cloud...),
Il est évident que
Tu as toujours une intention bienveillante envers tes supers collègues
Tu partages et échanges naturellement tes connaissances avec les autres membres de l’équipe
Tu es convaincu.e que tout.e seul.e on va plus vite mais ensemble on va plus loin!
Et si ton profil est retenu...
Tu auras un échange téléphonique de 30 min avec Malika des RH. Si vous êtes sur la même longueur d’ondes, tu la rencontreras dans nos locaux pour un échange de visu. Une fois cette étape validée, tu seras challengé.e techniquement par un des membres de l’équipe firmware. Et enfin, si tout se passe bien, tu termineras l’épreuve du feu par un déjeuner avec nous : )
Le meilleur pour la fin : les + chez Rtone :
La possibilité de Home office 1 à 2 fois par semaine
Un environnement ouvert et flexible qui te donnera les moyens de tes ambitions!
Un programme d'intégration pour te sentir ""chez toi"" dès la première semaine : )
Weekly : réunion hebdo où on parle imprimantes 3D, industrialisation, failles de sécurité... On ne s’ennuie jamais et on sait parler de tout!
Rtone investit et encourage vivement la veille technique !
Du coaching pour encourager ton épanouissement professionnel
On va éviter le cliché de la start-up qui se la joue super cool, mais il nous semble important de t'informer que l'on a un jardin et un BBQ
Locaux tout beaux, tout neufs pour être à l'aise pour travailler
Ah oui, il paraît aussi que la mutuelle est pas mal !
Postuler : https://rtone.typeform.com/to/z5vHT1
Type d'emploi : CDI
Salaire : 35 000,00€ à 50 000,00€ /an
Expérience:
développeur embarqué iot f/h: 2 ans (Souhaité)
il y a 10 jours
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=2c43669d1d096c48&advn=1456221512795419,junior,cdi,35 000 € - 50 000 € par an,Annuel,"[35000, 50000]",35000.0,50000.0
Développeur .NET MVC Confirmé,PAC.JOBS,Lyon (69),"Lyon (69)
35 000 € - 45 000 € par an
ENTREPRISE
PAC, cabinet spécialisé dans le recrutement et la délégation de compétences dans le domaine de l'informatique et du digital, recherche pour son client prestataire de services, un Développeur .NET (h/f) à Lyon (69).
POSTE

Sous la responsabilité du chef de projet, vous participerez :
Analyser les besoins
Développer de nouvelles fonctionnalités
Réaliser les tests

PROFIL
De formation bac+2 minimum en informatique, vous justifiez d'une expérience significative réussie sur ce type de poste.

Compétences requises
.NET
C#
MVC
CONTACT
Nadia Kheniche
+33 (0) 688140412
nadia.kheniche13
Salaire / rémunération : 35-45k€/an ou 300-350€/jour
Lieu : Lyon (69)
Durée : CDD ou Indépendant pour mission de longue durée
Référence : 5870
il y a 6 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=3e4fd504cddd5874&advn=4229222229489493,confirmé,cdd,35 000 € - 45 000 € par an,Annuel,"[35000, 45000]",35000.0,45000.0
DEVELOPPEUR PHP CONFIRME,ADSearch,Lyon 8e (69),"Lyon 8e (69)
36 000 € - 38 000 € par an
Adsearch, cabinet de recrutement du Groupe Adéquat, recrute en France et à l’international des profils d’experts techniques et de cadres pour ses clients. Spécialisés dans leur domaine, nos dénicheurs de talents vous accompagnent tout au long de votre carrière. Adsearch, simplement pour vous !

Retrouvez toutes nos offres sur www.adsearch.fr

Adsearch recrute pour son client final de 300 personnes un DEVELOPPEUR PHP CONFIRME (h/f).

Vous rejoignez une société lyonnaise historique qui a pris le virage du numérique il y a quelques années.
Pour ce faire elle a édité plusieurs plateformes web dans le e-commerce.

Basée au siège (80p) de Lyon intra-muros (proche de Bron) le pôle IT (12p) gère l’ensemble de ces plateformes web ainsi que l’ensemble du parc logiciels et l’ERP interne.

En tant que Développeur PHP confirmé fullstack vous rejoignez l’une des deux équipes du pôle IT :
celle qui gère les plateformes e-commerce et les logiciels.
Cette équipe est composée de 7 personnes : 5 développeurs, 1 CTO, 1 PO.

Vous rejoignez un environnement très riche en projets techniques, beaucoup de missions vous y attendent.

Pour n’en citer que quelques-unes vous travaillerez sur :
L’évolution des différentes plateformes e-commerce (fullstack)

La refonte de la gestion des visuels produits
Migration des sites en https
Optimisations SEO
Mise en place d’un site e-commerce B2C
Développement d’API
Optimisations et suivi des performances fullstack
Tests unitaires et fonctionnels
Evolution des logiciels internes et du parc applicatif
Accompagnement des montées de versions de la stack technique
Force de proposition fonctionnelle

Voici la stack technique qui vous accompagnera :
PHP 7.3, Symfony, Magento, HTTP2, TLS, NGINX, Varnish, Apache SolR, Percona, Elasticsearch, Github…
Environnement Agile (Scrum, très orienté qualité).

Issu(e) d’une formation supérieure en informatique vous justifiez d’une expérience réussie de 3 ans minimum en développement PHP.

Vous avez des compétences en infrastructures web Linux.
D’une manière plus générale vous êtes à l’aise en environnement LAMP.

De l’expérience sur Symfony et/ou Magento est appréciée.
Idem pour la connaissance d’un environnement Agile.

Vous êtes à l’aise en équipe.

Ce poste est à pourvoir dès que possible, en CDI statut cadre avec 10 jours de RTT par an.
+ prime intéressement, prime participation et tickets restaurants.
+ possibilité de télétravail 1 jour par semaine.

Intéressé(e) par ce poste ? Venez en discuter !
carriere-info - il y a 4 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=3f302189274e43dd,senior,cdi,36 000 € - 38 000 € par an,Annuel,"[36000, 38000]",36000.0,38000.0
Développeur .Net / Client Final / CDI,HAYS,Vénissieux (69),"Vénissieux (69)
CDI
40 000 € - 42 000 € par an
Notre client est un des leaders en France dans les prestations analytiques au service de la qualité de vie.
Rattaché(e) au Responsable du Service Informatique, vous intégrez une équipe à taille humaine afin d’intervenir sur la conception, la réalisation et la maintenance d’applications destinées aux laboratoires d’analyses et aux services périphériques.
Vous effectuez notamment les missions suivantes :
Analyser les besoins des utilisateurs
Participer aux phases de conception des applications
Assurer le développement de nouvelles applications dans le respect des normes et méthodes établies, en relation avec l’équipe.
Assurer la maintenance des programmes.
Rédiger les documentations techniques et les guides utilisateurs.
Participer aux opérations de suivi, de maintenance de la production et d’assistance aux utilisateurs.
Profil recherché
Langages : C# (.Net), SQL, VBA
Environnements : Visual Studio, Management Studio, SQL Server, SVN
Diplômes : Bac +2 à Bac +5 Informatique
Expérience : Débutant accepté
Rémunération : Selon profil et expérience
Autonome et réactif, vous avez le sens du service client et êtes force de propositions.
La connaissance de StarLims, du monde des laboratoires d’analyses et/ou pharmaceutiques serait un atout complémentaire.
Type d'emploi : CDI
Salaire : 40 000,00€ à 42 000,00€ /an
il y a 3 jours
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=23f7daca954a9573,senior,cdi,40 000 € - 42 000 € par an,Annuel,"[40000, 42000]",40000.0,42000.0
Développeur Java JEE F/H – Editeur de logiciels industriels...,Evowlve,Lyon (69),"Lyon (69)
CDI
35 000 € - 50 000 € par an
Client
La société est un éditeur de logiciels pour le domaine industriel. Pour être précis il s’agit de la filiale française d’un groupe d’Amérique du Nord qui édite 3 solutions logicielles pour gérer la fabrication et la vente de matériel industriel.

La principale exigence de l'entreprise est de fournir à ses clients un logiciel de qualité, facile d'utilisation et adapté aux besoins spécifiques des clients.

La société connait une forte croissance en France et plus généralement en Europe ainsi recruter des développeurs sur place devient essentiel pour elle?!

Concernant le poste il s'agit d'accompagner l'intégration des logiciels pour les clients, de développer de nouvelles briques logicielles et de répondre aux problématiques de qualité que s'impose l'entreprise.

Nous avons le plaisir d'accompagner cette structure car:

Il s'agit d'une entreprise de la taille d'une startup (en France) mais avec les moyens d'une grande société
Le domaine d'activité de l'entreprise et son côté international offre aux collaborateurs la possibilité de travailler sur une multitude de projets/problématiques, de rencontrer divers interlocuteurs et de voyager
Les collaborateurs sont ouverts d’esprit, disponibles et très investis dans le développement de la structure.

Recrutements déjà?réalisés par Evowlve : 2 personnes (2 développeurs logiciel confirmés)


Poste
Au sein d'une équipe d'ingénieur en développement Java JEE vous aurez pour missions :

L'analyse des besoins techniques et fonctionnels
La conception des architectures
Le développement de nouvelles fonctionnalités et API
La réalisation des phases de test
La mise en production des projets
L'accompagnement de l'intégration chez les clients
L'optimisation du code legacy

Dans ce poste vous devrez collaborer avec des interlocuteurs de différents horizons (clients et collaborateurs à l'international, milieu industriel…) en tant qu'expert, voyager quelques fois (USA / Europe) et travailler aussi bien en toute autonomie qu'en collaboration (en fonction des projets).
Les voyages sont limités et ils s'adapteront à vos possibilités.

Profil
Ce poste est ouvert aussi bien à un développeur junior qu'à un développeur sénior, il sera adapté à vos compétences et connaissances, idéalement vous avez:

Minimum bac+3 dans l'informatique
Une expérience dans le développement de logiciels (Alternance/contrat pro comptabilisé)
La maitrise d'un langage de programmation orientée objet, idéalement Java JEE (Spring, struts, hibernate …)
Des connaissances en base de données, langage SQL
La volonté de travailler sur une multitude de sujets
Une bonne maitrise de l'anglais : collaboration avec des équipes internationales
il y a 3 jours
- Continuer pour postuler
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=824249568b2ea049,senior,cdi,35 000 € - 50 000 € par an,Annuel,"[35000, 50000]",35000.0,50000.0
Développeur.Net/ C# (F/H),HUMAINEA,Lyon 3e (69),"Lyon 3e (69)
Temps plein, CDI
33 000 € - 40 000 € par an
HumainEA, cabinet de recrutement spécialisé dans le sourcing et la pré-qualification de candidats, recherche pour l’un de ses clients, ESN de 1150 consultants répartis sur 14 agences de proximité, experte en conseil en systèmes et logiciels informatiques, un Développeur.Net/C# (F/H).
Poste à pourvoir en CDI sur Lyon.
Descriptif du poste :
En collaboration avec le chef de projets et les développeurs, vous participez à la conception des évolutions de l’application. Vous Implémentez les évolutions sous le contrôle d’un Architecte.
Vous êtes le garant de la qualité et du respect des délais sur les livrables à chaque itération.
Vous Assurez la cohérence et la bonne intégration des composants livrés, en réalisant notamment les tests unitaires et d’intégration.
Profil recherché :
De formation supérieure en informatique Bac+3 à 5, vous disposez d’une expérience de 1 an minimum en développement VB.NET, C#.
Vous avez une expertise : en analyse et développement sur toutes les couches applicatives, ; en architecture orientée services et les technologies associées ; en conception d’une plateforme de services métier.
Vous avez évolué dans les environnements techniques suivants : SOAP (WCF); REST (ASP.NET Web API); ASP.net (WebForms); SOAP, REST, AS400…; SQL Server; Des connaissances sur la suite SSRS
Type d'emploi : Temps plein, CDI
Salaire : 33 000,00€ à 40 000,00€ /an
Expérience:
développeur.net/ c# (f/h) ou similaire: 1 an (Requis)
il y a 4 jours
Signaler cette offre d'emploi",,developpeur,Lyon,14/10/2019,vjk=32530ee8d40214ae,senior,cdi,33 000 € - 40 000 € par an,Annuel,"[33000, 40000]",33000.0,40000.0
